Identifier,Name,Height,Spread,Diameter,Maturity,Condition
00013459,London plane,16,5,21,Middle aged,Good
00013460,London plane,20,7,42,Mature,Good
00013461,London plane,20,8,46,Mature,Good
00013462,London plane,17,6,32,Mature,Good
00013463,London plane,20,6,40,Mature,Good
00013464,London plane,18,7,40,Mature,Good
00013465,London plane,16,7,40,Mature,Good
00013469,Oak - Red,12,6,38,Middle aged,Fair
00013471,False Acacia,17,8,33,Mature,Fair
00013472,False Acacia,15,6,26,Middle aged,Fair
00013473,False Acacia,17,7,38,Mature,Fair
00013474,False Acacia,14,5,24,Middle aged,Fair
00013477,False Acacia,15,6,44,Mature,Fair
00013481,False Acacia,14,6,41,Middle aged,Fair
00013482,False Acacia,16,5,39,Mature,Fair
00013483,False Acacia,14,4,30,Middle aged,Fair
00013485,False Acacia,12,4,28,Middle aged,Fair
00013486,False Acacia,15,4,34,Middle aged,Fair
00013487,London plane,16.02,5,24,Middle aged,Good
00013488,London plane,18,5,23,Middle aged,Good
00013489,London plane,20,8,50,Mature,Good
00013491,London plane,21,9,40,Mature,Good
00013493,London plane,21,7,42,Mature,Not applicable
00013494,London plane,21,9,43,Mature,Good
00013495,London plane,20,6,28,Mature,Good
00013496,London plane,17,7,55,Mature,Good
00013499,Lime,14,7,52,Mature,Fair
00013503,Ash,16,7,51,Middle aged,Fair
00013504,Ash,20,6,42,Mature,Fair
00013505,Wier maple,20,5,39,Middle aged,Fair
00013506,Wier maple,15,7,41,Mature,Good
00013508,London plane,15,7,45,Middle aged,Good
00013509,London plane,14,6,36,Middle aged,Good
00013511,London plane,15,6,35,Middle aged,Fair
00013514,London plane,16,7,40,Middle aged,Good
00013516,Ash,15,5,35,Mature,Poor
00013518,London plane,15,7,40,Middle aged,Good
00013520,London plane,15,5,37,Middle aged,Good
00013521,London plane,11,6,34,Middle aged,Fair
00013522,Ash,11,4,28,Middle aged,Fair
00013523,Ash,15,6,26,Middle aged,Fair
00013524,Ash,14,6,43,Middle aged,Fair
00013529,Ash,12,6,27,Middle aged,Good
00013531,False Acacia,14,4,24,Middle aged,Fair
00013533,London plane,12,6,22,Middle aged,Fair
00013537,Maple - Norway,15,7,35,Mature,Good
00013538,Maple - Norway,15,8,45,Mature,Good
00013539,Maple - Norway,11,6,22,Middle aged,Fair
00013540,"Oak - Common, Pedunculate",15,8,45,Middle aged,Good
00013541,"Oak - Common, Pedunculate",14,6,48,Middle aged,Fair
00013544,False Acacia,16,9,60,Mature,Fair
00013545,"Oak - Common, Pedunculate",15,8,50,Middle aged,Fair
00013552,London plane,17,6,37,Middle aged,Good
00013554,London plane,18,6,48,Middle aged,Good
00013555,London plane,18,5,38,Mature,Good
00013556,London plane,20,9,56,Middle aged,Good
00013560,Hawthorn - European,6,3,19,Mature,Fair
00013561,Hawthorn - European,6,4,18,Mature,Fair
00013606,"Cherry - Wild, Gean",9,5,34,Mature,Fair
00013608,"Cherry - Wild, Gean",5,2,21,Middle aged,Fair
00013611,Hawthorn - European,6,4,19,Mature,Fair
00013612,Hawthorn - European,5,3,22,Mature,Fair
00013614,Hawthorn - European,5,3,26,Mature,Fair
00013653,False Acacia,14,7,45,Mature,Fair
00013655,False Acacia,12,4,26,Middle aged,Fair
00013656,False Acacia,12,6,33,Middle aged,Fair
00013657,False Acacia,12,5,39,Mature,Fair
00013660,Wier maple,14,5,30,Mature,Good
00013661,Wier maple,14,6,35,Mature,Good
00013672,Hawthorn - Cockspur thorn,3.5,1,7,Juvenile,Fair
00013716,Ash - Yellow,8,5,30,Middle aged,Fair
00013718,London plane,14,13,81,Mature,Fair
00013719,London plane,17,12,69,Mature,Fair
00013720,Lime - Common,7,8,40,Middle aged,Fair
00013721,Lime - Common,12,9,39,Mature,Good
00013722,London plane,21,11,98,Mature,Good
00013723,London plane,21,15,84,Mature,Good
00013724,Horse Chestnut,20,14,94,Mature,Fair
00013725,Maple - Norway,17,17,65,Mature,Good
00013726,Birch - Silver,7,8,25,Middle aged,Fair
00013729,"Oak - Evergreen, Holm",10,14,76,Mature,Good
00013731,Hornbeam,14,12,6,Mature,Good
00013732,Hornbeam,16,11,47,Mature,Good
00013733,Hornbeam,14,8,46,Mature,Good
00013734,Hornbeam,1,10,38,Middle aged,Good
00013736,"Cherry - Wild, Gean",14,15,79,Mature,Good
00013737,Lime - Common,15,11,49,Middle aged,Fair
00013738,Lime - Common,16,12,49,Mature,Good
00013739,Lime - Common,16,12,5,Mature,Good
00013740,Lime - Common,16,10,44,Middle aged,Good
00013741,Birch - Silver,18,13,54,Mature,Good
00013742,Lime - Common,18,11,46,Mature,Good
00013743,Hornbeam,14,9,38,Middle aged,Good
00013744,Hornbeam,14,6,20,Middle aged,Good
00013745,Hornbeam,14,9,40,Middle aged,Good
00013746,Hornbeam,15,10,42,Mature,Good
00013747,Hornbeam,15,11,38,Mature,Good
00013748,Hornbeam,18,10,32,Middle aged,Good
00013749,Hornbeam,12,6,20,Middle aged,Good
00013750,Hornbeam,14,11,48,Mature,Good
00013751,Birch - Silver,6,5,17,Middle aged,Good
00013752,"Oak - Evergreen, Holm",12,12,36,Middle aged,Good
00013753,Birch - Silver,14,9,36,Mature,Good
00013754,"Oak - Evergreen, Holm",17,15,75,Mature,Good
00013755,Maple - Norway,15,12,49,Mature,Good
00013756,Birch - Silver,12,9,37,Mature,Fair
00013758,Birch - Silver,15,9,33,Mature,Good
00013759,Birch - Silver,17,11,38,Mature,Good
00013760,Maple - Norway,11,7,27,Middle aged,Fair
00013761,Birch - Silver,10,9,24,Mature,Good
00013762,Birch - Silver,14,9,25,Mature,Fair
00013763,Birch - Silver,17,12,39,Mature,Good
00013764,Birch - Silver,16,7,30,Mature,Good
00013765,Horse Chestnut,21,18,103,Mature,Good
00013767,Birch - Silver,16,1,44,Mature,Good
00013768,Birch - Silver,16,9,31,Mature,Good
00013769,Birch - Silver,19,11,42,Mature,Good
00013771,Whitebeam,16,10,56,Mature,Dead
00013773,Whitebeam,7,8,44,Mature,Fair
00013776,Birch - Silver,15,12,43,Mature,Good
00013777,Birch - Silver,13,10,28,Middle aged,Good
00013778,Birch - Silver,12,5,21,Middle aged,Fair
00013779,Birch - Silver,14,10,39,Mature,Fair
00013780,Birch - Silver,9,8,27,Middle aged,Good
00013781,Ash,18,22,83,Mature,Good
00013783,Birch - Silver,11,10,32,Middle aged,Good
00013784,Lime - Common,13,9,46,Middle aged,Good
00013785,Lime - Caucasian,14,10,40,Middle aged,Good
00013786,Lime - Caucasian,14,10,43,Middle aged,Fair
00013787,Lime - Caucasian,16,12,54,Mature,Fair
00013788,Sycamore,9,11,28,Middle aged,Fair
00013789,Sycamore,8,8,22,Middle aged,Fair
00013791,Apple - Crab,12,10,39,Mature,Fair
00013792,Apple - Crab,12,10,30,Mature,Fair
00013793,Sycamore,5,4,18,Middle aged,Fair
00013794,Rowan,9,6,21,Middle aged,Good
00013795,Wier maple,20,18,63,Mature,Good
00013796,Wier maple,20,10,42,Mature,Fair
00013797,Wier maple,18,20,83,Mature,Fair
00013799,Maple - Norway,15,13,65,Mature,Good
00013800,Hawthorn - Common,7,9,40,Mature,Fair
00013801,Birch - Silver,17,11,32,Mature,Good
00013802,Birch - Silver,10,8,19,Middle aged,Good
00013804,Birch - Silver,15,10,32,Mature,Good
00013805,Maple - Norway,17,11,36,Middle aged,Good
00013806,London plane,22,19,96,Mature,Good
00013807,London plane,22,18,101,Mature,Good
00013808,London plane,22,17,65,Mature,Good
00013809,Lime - Common,20,10,70,Mature,Good
00013810,London plane,20,16,81,Mature,Good
00013811,London plane,19,14,83,Mature,Good
00013812,London plane,18,13,92,Mature,Good
00013813,Plane - Oriental,20,18,76,Mature,Good
00013817,Plum,4,3,12,Middle aged,Fair
00013825,Rowan - Sargent's,6,3,13,Middle aged,Fair
00013827,Ash,15,10,45,Middle aged,Good
00013828,Ash,15,9,34,Middle aged,Good
00013830,Rowan - Sargent's,5,4,14,Middle aged,Fair
00013833,"Cherry - Wild, Gean",14,11,66,Mature,Good
00013834,Lime - Caucasian,13,8,36,Middle aged,Good
00013836,Lime - Common,16,10,44,Mature,Good
00013837,Lime - Common,15,10,43,Mature,Good
00013838,Lime - Common,18,6,59,Mature,Good
00013840,"Rowan, Mountain Ash",9,4,32,Middle aged,Fair
00013842,Maple - Norway,14,13,51,Mature,Good
00013845,Maple - Norway,14,10,48,Middle aged,Good
00013847,Lime - Caucasian,13,8,29,Middle aged,Good
00013848,Maple - Norway,14,10,44,Mature,Good
00013849,"Cherry - Wild, Gean",11,11,51,Mature,Good
00013852,Birch - Silver,7,6,23,Middle aged,Fair
00013853,Lime - Caucasian,14,9,41,Middle aged,Good
00013854,Maple - Caucasian,13,13,47,Middle aged,Good
00013858,Sycamore,16,15,59,Mature,Good
00013859,"Cherry - Wild, Gean",12,11,36,Middle aged,Fair
00013860,Lime - Caucasian,15,10,47,Mature,Good
00013861,"Cherry - Wild, Gean",10,5,30,Middle aged,Fair
00013862,"Cherry - Wild, Gean",10,9,34,Middle aged,Fair
00013863,"Cherry - Wild, Gean",11,11,42,Mature,Good
00013864,Lime - Caucasian,14,11,43,Middle aged,Good
00013865,Lime - Caucasian,5,4,21,Middle aged,Fair
00013866,Lime - Caucasian,13,9,42,Middle aged,Good
00013867,Lime - Common,15,9,58,Mature,Good
00013868,Lime - Small-leaved,16,10,55,Mature,Fair
00013869,Whitebeam,10,10,50,Mature,Good
00013870,Sycamore,15,10,40,Middle aged,Fair
00013871,Sycamore,17,15,61,Mature,Good
00013872,Ash,19,23,94,Mature,Good
00013873,Ash,12,12,46,Middle aged,Fair
00013874,Whitebeam,8,7,41,Mature,Fair
00013875,Hawthorn - Common,5,5,26,Middle aged,Fair
00013878,Hawthorn - Common,6,5,39,Middle aged,Fair
00013879,Cherry - Double pint,10,10,48,Mature,Fair
00013880,Birch - Silver,7,3,25,Veteran,Poor
00013881,Birch - Silver,9,6,26,Middle aged,Fair
00013882,Whitebeam,9,9,41,Middle aged,Fair
00013883,Lime - Common,18,10,59,Mature,Good
00013885,Birch - Silver,5,6,20,Middle aged,Good
00013886,Maple - Norway,9,7,37,Middle aged,Fair
00013888,"Cherry - Wild, Gean",12,11,51,Mature,Good
00013889,"Cherry - Wild, Gean",12,11,55,Mature,Good
00013890,Maple - Boxelder,11,12,39,Middle aged,Fair
00013891,Ash,13,10,42,Middle aged,Good
00013892,Maple - Boxelder,10,8,29,Middle aged,Fair
00013894,Maple - Boxelder,7,7,29,Middle aged,Good
00013895,Maple - Boxelder,7,7,26,Middle aged,Fair
00013897,Ash,12,10,44,Middle aged,Fair
00013898,"Cherry - Wild, Gean",13,13,53,Mature,Fair
00013899,Ash,14,10,52,Mature,Fair
00013900,Ash,14,10,44,Middle aged,Good
00013902,Plum,8,10,43,Mature,Good
00013903,Birch - Silver,8,4,23,Middle aged,Fair
00013904,Lime - Common,14,9,46,Middle aged,Good
00013905,Lime - Common,18,18,66,Mature,Good
00013908,Sycamore,20,14,71,Mature,Good
00013910,Sycamore,10,8,37,Middle aged,Good
00013911,Maple - Norway,9,6,33,Middle aged,Fair
00013912,Maple - Norway,8,6,34,Middle aged,Good
00013913,Wier maple,13,10,45,Middle aged,Good
00013914,Lime - Common,16,12,52,Mature,Good
00013915,Lime - Caucasian,12,6,26,Middle aged,Fair
00013916,Maple - Norway,13,7,32,Middle aged,Fair
00013917,Lime - Caucasian,13,6,28,Middle aged,Good
00013918,Beech - Purple,15,14,76,Mature,Good
00013919,Lime - Caucasian,12,7,32,Middle aged,Fair
00013921,Lime - Common,17,13,54,Mature,Good
00013922,Maple - Crimson King Norway,16,9,42,Mature,Fair
00013923,Maple - Norway,19,15,37,Mature,Fair
00013924,Lime - Common,17,11,45,Middle aged,Good
00013925,Lime - Common,17,9,37,Middle aged,Good
00013927,Sycamore,16,8,59,Mature,Good
00013929,Sycamore,17,12,44,Mature,Fair
00013930,Maple - Norway,18,14,64,Mature,Good
00013931,Maple - Crimson King Norway,10,7,33,Middle aged,Fair
00013933,Lime - Common,11,7,44,Middle aged,Good
00013934,Lime - Common,15,8,71,Mature,Good
00013935,Lime - Common,16,7,57,Mature,Fair
00013936,Lime - Common,16,11,71,Mature,Good
00013937,Maple - Norway,12,11,43,Mature,Fair
00013938,"Cherry - Wild, Gean",10,9,30,Middle aged,Fair
00013941,False Acacia,14,7,36,Middle aged,Fair
00013942,False Acacia,12,7,36,Middle aged,Fair
00013943,False Acacia,10,8,27,Middle aged,Poor
00013944,False Acacia,14,10,43,Mature,Fair
00013948,Maple - Purple Norway,9,5,25,Middle aged,Fair
00013949,Maple - Norway,10,5,23,Middle aged,Fair
00013950,Maple - Purple Norway,9,7,26,Middle aged,Fair
00013951,Maple - Norway,9,6,23,Middle aged,Fair
00013952,London plane,20,9,53,Mature,Good
00013953,London plane,20,14,58,Mature,Good
00013954,London plane,20,12,44,Mature,Good
00013955,London plane,20,9,40,Mature,Good
00013956,London plane,21,12,52,Mature,Good
00013957,London plane,22,10,57,Mature,Good
00013958,London plane,20,14,65,Mature,Good
00013959,London plane,20,14,57,Mature,Good
00013961,London plane,16,15,64,Mature,Good
00013962,London plane,17,7,64,Mature,Good
00013963,London plane,14,6,64,Mature,Fair
00013964,London plane,21,13,67,Mature,Fair
00013965,London plane,20,12,48,Mature,Good
00013966,London plane,23,14,66,Mature,Good
00013967,London plane,18,9,46,Mature,Good
00013968,London plane,20,14,65,Mature,Good
00013969,London plane,21,12,43,Mature,Good
00013970,London plane,23,8,50,Mature,Good
00013971,London plane,22,11,61,Mature,Good
00013972,London plane,21,15,72,Mature,Good
00013973,London plane,21,14,74,Mature,Good
00013974,London plane,5,3,14,Middle aged,Fair
00013975,London plane,8,5,20,Middle aged,Fair
00013976,London plane,7,5,19,Middle aged,Fair
00013979,Rowan,10,6,38,Mature,Fair
00013980,Whitebeam,9,6,35,Mature,Fair
00013982,London plane,15,7,51,Mature,Good
00013983,London plane,15,7,47,Mature,Good
00013987,Cherry - Bird,6,6,36,Mature,Fair
00013991,London plane,18,13,68,Mature,Good
00013992,Tree of Heaven,17,12,44,Middle aged,Fair
00013999,Wier maple,7,4,27,Middle aged,Poor
00014000,Maple,13,10,37,Mature,Fair
00014001,Maple,9,6,25,Middle aged,Fair
00014003,Pear - Chanticclere,10,4,29,Mature,Fair
00014005,Pear,11,3,24,Mature,Fair
00014006,Pear - Chanticclere,12,5,31,Mature,Good
00014007,London plane,17,10,103,Mature,Good
00014008,London plane,17,9,100,Mature,Fair
00014009,London plane,17,12,110,Mature,Good
00014011,London plane,16,11,75,Mature,Good
00014012,London plane,16,9,63,Mature,Good
00014013,London plane,16,11,69,Mature,Good
00014014,London plane,17,9,59,Mature,Good
00014015,London plane,13,9,45,Mature,Good
00014016,London plane,16,10,54,Mature,Good
00014017,London plane,16,9,54,Mature,Good
00014018,Plane - Oriental,16,8,58,Mature,Good
00014019,Plane - Oriental,15,9,51,Mature,Fair
00014026,Birch - Silver,15,6,37,Mature,Fair
00014027,Birch - Silver,10,8,27,Mature,Poor
00014028,Birch - Silver,12,6,33,Middle aged,Fair
00014030,Birch - Silver,10,5,37,Mature,Fair
00014031,Birch - Silver,13,6,26,Mature,Fair
00014032,Lime - Common,10,6,39,Mature,Good
00014033,London plane,10,8,39,Middle aged,Good
00014034,London plane,11,8,29,Middle aged,Good
00014035,London plane,8,5,14,Middle aged,Good
00014036,Maple - Norway,8,7,14,Middle aged,Good
00014037,London plane,15,12,51,Mature,Good
00014038,London plane,16,9,44,Mature,Good
00014039,London plane,15,11,48,Mature,Good
00014040,London plane,16,9,62,Mature,Good
00014041,London plane,14,6,37,Middle aged,Fair
00014042,London plane,15,7,57,Mature,Fair
00014043,London plane,15,7,46,Mature,Fair
00014044,Plane - Oriental,15,7,46,Mature,Fair
00014045,London plane,12,4,38,Middle aged,Good
00014046,London plane,13,9,60,Mature,Good
00014047,Birch - Silver,14,6,31,Mature,Fair
00014048,Birch - Silver,14,7,27,Mature,Fair
00014050,Birch - Silver,10,6,43,Mature,Fair
00014052,Birch - Silver,11,6,30,Mature,Fair
00014053,Birch - Silver,9,4,24,Mature,Fair
00014061,Maple - Norway,15,11,47,Mature,Good
00014062,Maple - Norway,18,9,51,Mature,Good
00014063,Maple - Norway,17,12,54,Mature,Good
00014064,Maple - Norway,18,12,67,Mature,Good
00014065,Maple - Norway,13,12,49,Mature,Fair
00014067,Maple - Norway,11,9,40,Middle aged,Fair
00014068,Maple - Boxelder,8,5,62,Mature,Fair
00014069,Maple - Boxelder,8,8,33,Middle aged,Fair
00014071,Ash - Narrow-leafed,14,10,43,Mature,Good
00014072,Maple - Boxelder,9,8,38,Middle aged,Fair
00014077,Wier maple,18,15,68,Mature,Fair
00014080,Hawthorn - Cockspur,5,5,17,Mature,Fair
00014082,London plane,22,14,109,Mature,Good
00014083,Cherry - Double pint,5,4,21,Mature,Fair
00014086,Cherry - Double pint,5,4,18,Mature,Fair
00014087,Paper birch,12,7,32,Mature,Good
00014088,Paper birch,8,5,25,Mature,Fair
00014089,Paper birch,11,7,43,Mature,Good
00014092,False Acacia - Frisia,16,8,49,Mature,Fair
00014095,London plane,24,17,107,Mature,Fair
00014097,London plane,21,18,113,Mature,Fair
00014098,London plane,21,14,67,Mature,Good
00014099,London plane,15,10,65,Mature,Good
00014100,London plane,21,12,74,Mature,Good
00014101,London plane,20,12,70,Mature,Fair
00014102,London plane,22,12,63,Mature,Good
00014103,London plane,22,13,62,Mature,Good
00014105,London plane,18,9,51,Mature,Good
00014106,London plane,15,10,65,Middle aged,Good
00014107,Maple - Silver,15,11,67,Mature,Good
00014108,Alder - Blue,14,4,32,Middle aged,Good
00014109,Lime - Common,12,8,48,Middle aged,Fair
00014111,Cherry - Bird,5,4,24,Middle aged,Poor
00014112,Ash,11,8,47,Mature,Fair
00014113,London plane,16,12,70,Mature,Good
00014122,Ash - Narrow-leafed,14,8,39,Mature,Fair
00014123,Ash - Narrow-leafed,14,9,39,Mature,Fair
00014124,Ash - Narrow-leafed,15,11,39,Mature,Fair
00014126,Maidenhair tree,7,2,12,Middle aged,Good
00014127,Maple - Silver,14,11,48,Mature,Fair
00014129,Hawthorn,3,2,7,Juvenile,Fair
00014130,London plane,12,8,44,Middle aged,Fair
00014131,London plane,12,7,34,Middle aged,Fair
00014134,Ash,7,7,31,Middle aged,Fair
00014135,Hawthorn - Cockspur,7,5,19,Middle aged,Fair
00014136,Hawthorn - Cockspur thorn,7,6,27,Middle aged,Fair
00014137,Hawthorn - Cockspur,8,5,21,Middle aged,Fair
00014138,Alder - Italian,9,6,46,Mature,Fair
00014141,"Rowan, Mountain Ash",6,4,15,Middle aged,Fair
00014142,Plum,6,6,16,Middle aged,Fair
00014144,Tree of Heaven,13,10,50,Mature,Fair
00014145,Plum,6,6,19,Middle aged,Fair
00014148,Tree of Heaven,13,6,49,Mature,Fair
00014151,Maple - Field,8,3,26,Mature,Good
00014153,Hawthorn - European,7,2,16,Middle aged,Fair
00014162,Sycamore,12,7,42,Mature,Good
00014164,Hawthorn - European,6,3,11,Middle aged,Good
00014165,Aspen,17,9,36,Mature,Good
00014166,Poplar - Lombardy,25,5,72,Mature,Good
00014167,Ash,8,4,24,Middle aged,Fair
00014168,"Oak - Common, Pedunculate",9,5,17,Middle aged,Fair
00014170,Birch - Silver,8,3,15,Middle aged,Poor
00014171,Maple - Field,9,4,26,Mature,Good
00014172,Willow - Crack,5,7,49,Mature,Poor
00014173,Hawthorn - Common,4,3,11,Middle aged,Good
00014176,Hornbeam,13,8,31,Middle aged,Good
00014179,Birch - Silver,9,3,14,Middle aged,Good
00014181,Hawthorn - Common,7,6,21,Middle aged,Fair
00014182,Hawthorn - Common,4,1,3,Juvenile,Good
00014183,Aspen,18,10,40,Mature,Good
00014187,Sycamore,15,9,40,Mature,Good
00014189,Aspen,14,5,26,Middle aged,Good
00014192,Aspen,17,7,34,Mature,Good
00014194,Hornbeam,5,6,16,Middle aged,Good
00014196,Aspen,10,7,30,Mature,Good
00014197,Aspen,13,9,32,Mature,Good
00014198,Aspen,5,9,10,Middle aged,Fair
00014199,Aspen,18,8,35,Mature,Good
00014200,Hawthorn - European,7,2,17,Middle aged,Good
00014201,Hawthorn - European,7,3,6,Middle aged,Good
00014203,Aspen,13,3,28,Middle aged,Fair
00014204,Aspen,15,9,37,Mature,Fair
00014205,Aspen,15,15,36,Mature,Good
00014206,Horse Chestnut,7,4,23,Middle aged,Fair
00014208,Ash,12,8,41,Mature,Fair
00014212,Ash,12,7,46,Mature,Fair
00014213,Ash,8,8,35,Mature,Fair
00014214,Lime - Caucasian,12,6,28,Middle aged,Fair
00014215,Plane - Oriental,16,7,53,Mature,Good
00014217,Plane - Oriental,13,6,58,Mature,Good
00014219,Plane - Oriental,13,7,45,Mature,Fair
00014220,Plane - Oriental,13,6,56,Mature,Good
00014223,"Cherry - Wild, Gean",8,5,24,Middle aged,Fair
00014225,Cherry - Double pint,12.3,9,47,Mature,Fair
00014227,Lime - Small-leaved,11,2,31,Mature,Fair
00014228,Lime - Small-leaved,12,3,37,Mature,Fair
00014229,Lime - Small-leaved,12,3,27,Mature,Fair
00014230,Lime - Small-leaved,13,4,30,Mature,Fair
00014231,Lime - Small-leaved,13,5,34,Mature,Fair
00014232,Lime - Small-leaved,13,3,37,Mature,Fair
00014233,Lime - Small-leaved,13,4,41,Mature,Fair
00014234,Ash,15,5,31,Middle aged,Fair
00014235,Apple,5,3,15,Mature,Fair
00014236,Ash,16,4,21,Mature,Fair
00014237,Ash,16,6,27,Mature,Fair
00014238,Ash,16,6,31,Mature,Fair
00014243,Rowan,6,2,10,Middle aged,Fair
00014244,Rowan,7,2,14,Middle aged,Fair
00014249,Maple - Norway,9,5,30,Middle aged,Good
00014253,London plane,11,7,73,Mature,Fair
00014255,"Rowan, Mountain Ash",6,3,11,Middle aged,Fair
00014256,Rowan - Scarlet,5,4,12,Middle aged,Good
00014258,Rowan - Scarlet,6,4,10,Middle aged,Good
00014259,Rowan - Hubei,7,4,16,Middle aged,Fair
00014260,London plane,12,8,72,Mature,Fair
00014261,London plane,12,7,75,Mature,Fair
00014262,Rowan,8,4,30,Middle aged,Good
00014264,Hawthorn - Cockspur,6,5,22,Middle aged,Fair
00014265,Rowan - Hubei,6,5,23,Middle aged,Fair
00014267,"Rowan, Mountain Ash",8,5,32,Middle aged,Fair
00014269,London plane,20,12,63,Mature,Fair
00014270,London plane,22,12,68,Mature,Fair
00014271,London plane,20,12,56,Mature,Good
00014276,Horsechestnut - Red,8,6,26,Middle aged,Fair
00014278,Birch - Silver,11,5,21,Mature,Fair
00014279,Birch - Silver,11,8,33,Mature,Good
00014281,Whitebeam,8,6,22,Middle aged,Fair
00014282,Birch - Cut-leaved,10,5,21,Mature,Good
00014283,Birch - Silver,6,2,8,Middle aged,Fair
00014284,Alder - Grey,10,7,42,Middle aged,Fair
00014286,"Cherry - Wild, Gean",9,6,34,Middle aged,Poor
00014287,Whitebeam,7,6,24,Mature,Good
00014288,"Cherry - Wild, Gean",9,9,52,Mature,Fair
00014289,Whitebeam,6,4,31,Mature,Good
00014290,Paper birch,9,7,31,Mature,Good
00014291,Whitebeam,7,7,42,Mature,Fair
00014294,Whitebeam,7,5,19,Middle aged,Good
00014297,Horse chestnut - Red,7,7,33,Middle aged,Fair
00014298,Whitebeam,6,4,17,Middle aged,Fair
00014299,Horsechestnut - Red,7,5,24,Middle aged,Fair
00014301,Horse chestnut - Red,8,6,32,Middle aged,Fair
00014302,Pear - Chanticclere,6,3,15,Middle aged,Good
00014304,Hornbeam,10,9,54,Mature,Good
00014305,Hornbeam,8,12,62,Mature,Good
00014306,Lime - Common,10,6,38,Middle aged,Fair
00014308,Plum,7,5,21,Middle aged,Fair
00014309,Sycamore,10,5,35,Middle aged,Fair
00014310,London plane,20,12,80,Mature,Good
00014311,London plane,18.2,13,50,Mature,Good
00014312,Sweet Chestnut,10,6,31,Middle aged,Fair
00014314,London plane,13,8,60,Mature,Fair
00014315,Maple - Crimson King Norway,14,7,38,Mature,Fair
00014316,Maple - Crimson King Norway,13,7,36,Mature,Fair
00014317,Maple - Crimson King Norway,13,7,34,Mature,Good
00014318,Maple - Crimson King Norway,10,6,30,Mature,Fair
00014319,Alder - Italian,20,8,54,Mature,Good
00014320,Plum,8,4,22,Mature,Fair
00014321,Maple - Silver,16,12,74,Mature,Good
00014326,Whitebeam,8,4,36,Mature,Fair
00014327,Whitebeam,8,4,34,Mature,Fair
00014328,Whitebeam,8,5,32,Mature,Fair
00014329,Whitebeam,8,4,36,Mature,Fair
00014334,Whitebeam,8,5,37,Mature,Good
00014335,Hawthorn,6,4,14,Middle aged,Fair
00014336,"Rowan, Mountain Ash",10,6,31,Mature,Fair
00014337,Whitebeam,8,6,31,Mature,Fair
00014351,Tree of Heaven,14,11,56,Mature,Fair
00014352,Sycamore - Purple leaved,18,12,40,Mature,Fair
00014353,Birch - Silver,15,5,20,Middle aged,Fair
00014354,Sycamore,16,7,34,Mature,Fair
00014355,Sycamore,16,7,40,Mature,Fair
00014356,Whitebeam,12,5,32,Mature,Good
00014359,False Acacia,17,8,53,Mature,Fair
00014362,Maple - Field,16,12,45,Mature,Fair
00014363,Lime - Small-leaved,9,5,66,Mature,Fair
00014364,London plane,13,9,76,Mature,Fair
00014365,Lime - Common,9,3,40,Mature,Good
00014366,London plane,20,13,86,Mature,Good
00014367,Ash,10,7,34,Middle aged,Fair
00014369,Cherry,7,3,17,Middle aged,Fair
00014370,Ash - Yellow,9,7,29,Middle aged,Good
00014373,Pear - Chanticclere,9,7,27,Mature,Good
00014378,Lime - Caucasian,9,6,31,Middle aged,Good
00014380,Hawthorn - Cockspur,6,4,16,Middle aged,Fair
00014381,Lime - Caucasian,12,6,36,Middle aged,Fair
00014382,Ash,11,8,49,Mature,Fair
00014383,Hawthorn - Cockspur,5,4,15,Middle aged,Good
00014384,Lime - Caucasian,9,7,28,Middle aged,Fair
00014385,Cherry,5,6,37,Middle aged,Fair
00014389,Lime - Large-leaved,11,6,65,Mature,Fair
00014390,London plane,17,11,79,Mature,Good
00014392,London plane,15,8,69,Mature,Good
00014395,"Cherry - Wild, Gean",13,8,54,Mature,Fair
00014397,Maple - Norway,11,6,34,Middle aged,Fair
00014400,"Cherry - Wild, Gean",10,4,26,Middle aged,Fair
00014401,Whitebeam,10,5,26,Middle aged,Good
00014402,Cherry,8,4,22,Middle aged,Good
00014403,Whitebeam,6,4,17,Middle aged,Good
00014404,"Cherry - Wild, Gean",9,6,18,Mature,Fair
00014405,"Cherry - Wild, Gean",10,6,27,Mature,Good
00014406,"Cherry - Wild, Gean",9,5,41,Mature,Fair
00014407,Pear - Chanticclere,11,4,20,Middle aged,Fair
00014408,Alder - Italian,20,8,34,Middle aged,Good
00014409,Alder - Italian,10,9,30,Middle aged,Fair
00014412,Pear - Chanticclere,15,6,28,Middle aged,Fair
00014413,Pear - Chanticclere,15,6,27,Mature,Good
00014414,Wier maple,16,10,32,Juvenile,Fair
00014416,Cherry - Double pint,9,9,31,Middle aged,Good
00014417,Cherry - Double pint,8,9,31,Mature,Fair
00014418,Cherry - Double pint,8,6,43,Mature,Fair
00014419,Cherry - Double pint,5,4,30,Middle aged,Poor
00014420,Poplar -Black,15,8,87,Mature,Good
00014421,Poplar -Black,14,9,89,Mature,Good
00014422,Lime - Common,15,8,62,Mature,Good
00014437,Lime - Common,13,12,49,Mature,Good
00014438,Lime - Common,17,12,55,Mature,Good
00014439,Lime - Common,14,6,31,Middle aged,Good
00014441,London plane,16,9,51,Mature,Good
00014442,London plane,16,7,51,Mature,Good
00014444,London plane,16,10,66,Mature,Good
00014446,Apple,7,6,23,Middle aged,Fair
00014447,Apple,6,6,31,Mature,Good
00014449,Maple - Field,15,4,20,Mature,Good
