Identifier,Name,Height,Spread,Diameter,Maturity,Condition
00000267,Ash,12,10,43,Middle aged,Fair
00000269,Ash - Manna,8,7,34,Middle aged,Good
00000270,Ash - Manna,8,5,33,Middle aged,Good
00000271,Ash - Manna,8,4,22,Middle aged,Good
00000272,Ash - Manna,7,4,22,Middle aged,Good
00000273,Ash - Manna,8,5,27,Middle aged,Good
00000274,Ash - Manna,7,6,26,Middle aged,Good
00000276,London plane,18,10,61,Mature,Good
00000277,Ash - One-leaved,16,9,41,Mature,Fair
00000278,London plane,18,6,38,Mature,Good
00000279,Maple - Variegated Norway,9,7,32,Middle aged,Fair
00000280,Sycamore - Purple Leaved,13,9,36,Mature,Fair
00000281,Ash - One-leaved,16,10,44,Middle aged,Fair
00000283,Maple - Variegated Norway,5,2,10,Juvenile,Fair
00000284,Sycamore - Purple Leaved,12,6,30,Middle aged,Good
00000287,Elm - English,13,9,30,Middle aged,Fair
00000288,Maple - Variegated Norway,10,5,25,Middle aged,Fair
00000289,Maple - Variegated Norway,10,4,16,Middle aged,Fair
00000290,Elm - English,10,5,23,Middle aged,Fair
00000299,Paper birch,7,6,32,Mature,Fair
00000301,Cherry - Bird,6,4,28,Middle aged,Fair
00000306,"Rowan, Mountain Ash",5,4,13,Middle aged,Fair
00000308,Birch - Silver,7,6,20,Middle aged,Fair
00000309,Rowan - Hubei,6,3,16,Middle aged,Poor
00000312,Cherry - Bird,6,4,32,Middle aged,Fair
00000313,Cherry - Bird,5,5,33,Middle aged,Fair
00000316,June berry,6,4,11,Middle aged,Fair
00000318,Cherry,6,4,15,Middle aged,Fair
00000322,Ash - Weeping,13,9,62,Mature,Fair
00000323,Sycamore,13,12,58,Mature,Fair
00000324,Sycamore,14,8,53,Mature,Fair
00000325,Hawthorn - Common,7,4,29,Mature,Fair
00000326,Lime - Common,16,9,53,Mature,Good
00000327,Horse Chestnut,16,11,78,Mature,Fair
00000328,Lime - Common,17,8,58,Mature,Fair
00000329,Lime - Common,16,9,55,Mature,Fair
00000330,Lime - Common,15,6,36,Mature,Good
00000331,Lime - Common,15,5,39,Mature,Fair
00000333,Lime - Common,21,11,74,Mature,Fair
00000334,Ash,14,6,62,Mature,Fair
00000338,June Berry,6,4,20,Mature,Fair
00000341,June Berry,6,3,19,Middle aged,Fair
00000342,June Berry,6,3,15,Middle aged,Fair
00000345,London plane,14,9,60,Mature,Good
00000346,London plane,15,6,41,Mature,Good
00000347,London plane,17,8,63,Mature,Good
00000348,Lime - Caucasian,12,5,42,Middle aged,Fair
00000349,Lime - Caucasian,12,6,41,Mature,Poor
00000350,Lime - Caucasian,10,6,32,Middle aged,Fair
00000351,Lime - Caucasian,12,6,44,Middle aged,Fair
