date,open,high,low,close,volume
2021-01-04,88,88.1245,85.357,86.3065,37323900
2021-01-05,86.2545,87.3415,85.845,87.0025,20318840
2021-01-06,85.013,87.198,84.805,86.144,46588020
2021-01-07,86.338,88.891,86.338,88.717,41737360
2021-01-08,88.858,89.968,88.061,89.8915,35484520
2021-01-11,88.851,89.219,87.607,87.8145,34812360
2021-01-12,87.268,88.395,85.819,86.8715,29211260
2021-01-13,86.366,87.8195,86.366,87.3625,23359940
2021-01-14,87.4435,88.3775,86.3035,86.546,29212340
2021-01-15,86.451,87.381,85.5855,86.381,31444280
2021-01-19,87.15,90.192,86.6415,89.2235,41164080
2021-01-20,91.3185,94.986,90.9755,94.0035,63493300
2021-01-21,94.6825,96.604,93.9705,94.2075,58659460
2021-01-22,94.573,95.2195,93.8245,94.628,32743900
2021-01-25,95.637,96.091,92.958,94.714,50007640
2021-01-26,94.2995,95.7875,93.8065,95.3975,31461560
2021-01-27,93.7455,94.0235,89.864,90.947,82512620
2021-01-28,91.55,94.3995,91.55,92.66,55107360
2021-01-29,91.701,92.377,90.078,91.368,44530180
2021-02-01,92.2295,95.777,92.2295,94.6535,39864880
2021-02-02,95.6565,97.4685,95.3185,95.956,62175520
2021-02-03,103.2805,105.331,100.6775,102.944,97881640
2021-02-04,103.031,103.465,101.755,102.6815,48595600
2021-02-05,102.978,104.797,102.5,104.4415,29865120
2021-02-08,105,105.75,103.1675,104.226,28129200
2021-02-09,103.74,104.9255,103.5,103.7695,21891660
2021-02-10,104.157,104.944,102.612,104.324,25053780
2021-02-11,104.55,104.7,103.443,104.4375,20196500
2021-02-12,103.9885,104.975,103.6785,104.7515,18990500
2021-02-16,104.5875,107.257,104.5875,105.535,31003900
2021-02-17,104.699,106.122,104.4175,105.931,20303540
2021-02-18,105.25,106.0995,104.6665,105.2905,22570980
2021-02-19,105.3895,105.929,104.1715,104.4405,37938780
2021-02-22,102.68,104.0165,102.4,102.713,29466340
2021-02-23,100.6995,103.625,99.5115,103.006,34657980
2021-02-24,101.502,104.416,101.3765,104.1905,22608740
2021-02-25,102.7965,104.15,100.3245,100.7975,41548180
2021-02-26,101.4975,102.826,100.0505,101.0955,40041280
2021-03-01,102.4,103.8115,101.721,103.483,26061780
2021-03-02,103.242,104.737,102.8335,103.224,25563680
2021-03-03,102.5975,103.7995,99.7,100.5705,33800700
2021-03-04,100.7435,103.7295,100.2715,101.6965,49215720
2021-03-05,103.0575,105.31,101.389,104.8535,53099540
2021-03-08,104.203,105.687,100.2595,100.375,36867420
2021-03-09,102.4875,103.196,101.78,102.018,33920620
2021-03-10,103.07,103.07,100.9665,101.8095,27100080
2021-03-11,102.911,105.5635,102.8225,105.027,27702600
2021-03-12,103.8205,103.8805,101.621,102.5,33817980
2021-03-15,102.2485,102.7495,101.3895,102.722,26031960
2021-03-16,103.2995,105.684,102.9645,104.1945,31855560
2021-03-17,103.4235,104.95,102.206,104.111,25848740
2021-03-18,102.409,103.4375,100.959,101.067,31712960
2021-03-19,101.4865,101.852,100.1465,101.348,46071920
2021-03-22,101.3815,102.417,100.7,101.5345,33535420
2021-03-23,101.9975,103.2055,101.4,102.0665,28131800
2021-03-24,102.588,103.38,101.45,101.6265,24773400
2021-03-25,101.4525,102.282,99.8045,101.623,35615740
2021-03-26,101.5895,101.969,100.1925,101.2365,27977500
2021-03-29,101.108,102.4605,100.2725,102.2895,26492620
2021-03-30,102.649,103.1335,101.8075,102.3235,25053960
2021-03-31,102.72,104.313,102.35,103.126,42569640
2021-04-01,104.6125,106.7875,104.5715,106.489,39880100
2021-04-05,107.3575,111.4495,107.26,110.948,47868480
2021-04-06,110.546,111.4,110.0895,110.463,35240780
2021-04-07,110.655,112.225,110.655,111.9515,24133920
